city_nm,ksh_cd,city_type_cd,county_nm,district_cd,district_nm,district_seat_nm,area_no,population_no,apartments_no,country_cd,longitude_no,latitude_no
Darány,31352,község,Somogy,140 0,Barcsi,Barcs,"2,810",796,329,HU,17.590667,45.982333
Darnó,18795,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,464,135,63,HU,22.662667,47.9585
Darnózseli,21865,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,"1,961",1636,622,HU,17.4265,47.85
Daruszentmiklós,34342,község,Fejér,078 0,Dunaújvárosi,Dunaújváros,"1,912",1080,550,HU,,
Darvas,14678,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,"4,231",450,274,HU,21.339,47.1015
Dávod,10533,község,Bács-Kiskun,035 0,Bajai,Baja,"6,921",1779,1074,HU,18.921667,45.998667
Debercsény,7320,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,543,89,52,HU,19.319167,47.964
Debrecen,15130,"megyeszékhely, megyei jogú város",Hajdú-Bihar,095 1,Debreceni,Debrecen,"46,166",201704,100424,HU,21.637167,47.528833
Debréte,31954,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,962,14,29,HU,20.867167,48.5005
Decs,24989,nagyközség,Tolna,173 0,Szekszárdi,Szekszárd,"9,467",3764,1523,HU,18.758167,46.284167
Dédestapolcsány,4686,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,"2,943",1275,738,HU,20.485667,48.180167
Dég,32753,község,Fejér,079 0,Enyingi,Enying,"4,689",1946,877,HU,18.446167,46.873667
Dejtár,12511,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,"2,142",1287,554,HU,19.172,48.0385
Délegyháza,9973,község,Pest,136 0,Szigetszentmiklósi,Szigetszentmiklós,"2,560",5900,2270,HU,19.068333,47.252167
Demecser,17756,város,Szabolcs-Szatmár-Bereg,152 0,Kemecsei,Kemecse,"3,699",3863,1456,HU,21.920333,48.108
Demjén,8660,község,Heves,104 0,Egri,Eger,"2,508",972,335,HU,20.3355,47.830833
Dencsháza,7773,község,Baranya,033 0,Szigetvári,Szigetvár,"1,398",513,206,HU,17.837667,45.993667
Dénesfa,32595,község,Győr-Moson-Sopron,088 0,Kapuvári,Kapuvár,"1,754",397,172,HU,17.032667,47.456
Derecske,5573,város,Hajdú-Bihar,096 1,Derecskei,Derecske,"10,359",8413,3403,HU,21.5645,47.352167
Derekegyház,7834,község,Csongrád-Csanád,076 0,Szentesi,Szentes,"5,378",1380,661,HU,20.3575,46.582667
Deszk,24077,község,Csongrád-Csanád,075 0,Szegedi,Szeged,"5,205",3948,1494,HU,20.243833,46.217
Detek,10524,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,968,256,124,HU,21.019,48.334167
Detk,9201,község,Heves,106 0,Gyöngyösi,Gyöngyös,"2,808",1126,524,HU,20.098833,47.749667
Dévaványa,24819,város,Békés,047 0,Gyomaendrődi,Gyomaendrőd,"21,655",6582,3203,HU,20.962333,47.028833
Devecser,32276,város,Veszprém,186 1,Devecseri,Devecser,"6,410",4149,1768,HU,17.437333,47.106167
Dinnyeberki,11952,község,Baranya,032 0,Szentlőrinci,Szentlőrinc,856,92,40,HU,17.958333,46.098667
Diósberény,11688,község,Tolna,174 0,Tamási,Tamási,"1,775",257,181,HU,18.4445,46.533333
Diósd,24013,város,Pest,127 0,Érdi,Érd,575,11637,4342,HU,18.950333,47.4095
Diósjenő,6743,község,Nógrád,119 0,Rétsági,Rétság,"5,750",2859,1185,HU,19.0465,47.9435
Dióskál,28778,község,Zala,193 0,Keszthelyi,Keszthely,"1,963",418,258,HU,17.056333,46.673333
Diósviszló,32373,község,Baranya,031 0,Siklósi,Siklós,"1,581",600,248,HU,18.168333,45.8775
Doba,10870,község,Veszprém,186 0,Devecseri,Devecser,"2,122",456,263,HU,17.376,47.165333
Doboz,33190,nagyközség,Békés,046 0,Békéscsabai,Békéscsaba,"5,447",3944,1892,HU,21.2455,46.735833
Dobri,25885,község,Zala,194 0,Lenti,Lenti,789,132,102,HU,16.582333,46.5165
Dobronhegy,32708,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,215,157,79,HU,16.752333,46.820667
Dóc,30535,község,Csongrád-Csanád,075 0,Szegedi,Szeged,"4,943",664,288,HU,20.137833,46.4375
Domaháza,25690,község,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,"2,882",776,312,HU,20.105667,48.182167
Domaszék,13383,község,Csongrád-Csanád,075 0,Szegedi,Szeged,"5,215",4731,2144,HU,20.004833,46.244833
Dombegyház,24031,nagyközség,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,"5,794",1567,1012,HU,21.132833,46.338833
Dombiratos,22132,község,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,"1,830",451,393,HU,21.116667,46.422333
Dombóvár,7685,város,Tolna,171 1,Dombóvári,Dombóvár,"7,848",17041,8861,HU,18.622667,46.399167
Dombrád,14508,város,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,"5,184",3560,1335,HU,21.9225,48.228833
Domony,4808,község,Pest,122 0,Aszódi,Aszód,"2,180",2212,878,HU,19.435,47.655833
Domoszló,7515,község,Heves,106 0,Gyöngyösi,Gyöngyös,"4,022",1809,960,HU,20.1155,47.83
Dormánd,30261,község,Heves,105 0,Füzesabonyi,Füzesabony,"2,006",925,376,HU,20.420833,47.719667
Dorog,10490,város,Komárom-Esztergom,110 0,Esztergomi,Esztergom,"1,154",11423,5210,HU,18.732,47.727333
Dorogháza,24439,község,Nógrád,117 0,Bátonyterenyei,Bátonyterenye,"1,768",956,564,HU,19.903167,47.9875
Dozmat,16151,község,Vas,181 0,Szombathelyi,Szombathely,854,337,125,HU,16.512167,47.234667
Döbörhegy,20695,község,Vas,177 0,Körmendi,Körmend,"1,175",138,108,HU,16.703833,46.991167
Döbröce,7782,község,Zala,198 0,Zalaszentgróti,Zalaszentgrót,270,93,51,HU,17.189333,46.937
Döbrököz,2565,község,Tolna,171 0,Dombóvári,Dombóvár,"4,313",1817,942,HU,18.2425,46.423167
Döbrönte,29470,község,Veszprém,187 0,Pápai,Pápa,"1,079",259,130,HU,17.5485,47.2295
Döge,3647,község,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,"1,654",2051,734,HU,22.0735,48.261
Dömös,6594,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,"2,401",1160,479,HU,18.913333,47.763333
Dömsöd,29647,nagyközség,Pest,134 0,Ráckevei,Ráckeve,"7,242",6020,2651,HU,19.013167,47.091167
Dör,21917,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,"1,101",622,226,HU,17.301167,47.5985
Dörgicse,6363,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,"1,911",313,173,HU,17.7255,46.9225
Döröske,3036,község,Vas,177 0,Körmendi,Körmend,440,122,87,HU,16.7005,47.012667
Dötk,16009,község,Zala,198 0,Zalaszentgróti,Zalaszentgrót,172,44,24,HU,17.009333,46.944
Dövény,6123,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,"1,165",264,118,HU,20.546167,48.348833
Drágszél,7524,község,Bács-Kiskun,037 0,Kalocsai,Kalocsa,"1,259",267,148,HU,19.038667,46.467667
Drávacsehi,28617,község,Baranya,031 0,Siklósi,Siklós,740,154,74,HU,18.167,45.812333
Drávacsepely,28121,község,Baranya,031 0,Siklósi,Siklós,660,186,89,HU,18.139167,45.8305
Drávafok,17419,község,Baranya,030 0,Sellyei,Sellye,"2,390",438,210,HU,17.7655,45.886333
Drávagárdony,13611,község,Somogy,140 0,Barcsi,Barcs,627,144,59,HU,17.606833,45.944833
Drávaiványi,32391,község,Baranya,030 0,Sellyei,Sellye,"1,101",154,82,HU,17.8185,45.847
Drávakeresztúr,9159,község,Baranya,030 0,Sellyei,Sellye,"1,297",115,98,HU,17.761,45.839167
Drávapalkonya,22734,község,Baranya,031 0,Siklósi,Siklós,"1,013",278,107,HU,18.181,45.803667
Drávapiski,12380,község,Baranya,031 0,Siklósi,Siklós,491,107,42,HU,18.1015,45.841167
Drávaszabolcs,28608,község,Baranya,031 0,Siklósi,Siklós,"1,122",673,287,HU,18.212333,45.804833
Drávaszerdahely,30030,község,Baranya,031 0,Siklósi,Siklós,624,149,76,HU,18.165333,45.836833
Drávasztára,21698,község,Baranya,030 0,Sellyei,Sellye,"1,818",365,216,HU,17.8235,45.822667
Drávatamási,15884,község,Somogy,140 0,Barcsi,Barcs,845,303,103,HU,17.5735,45.942667
Drégelypalánk,8156,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,"2,218",1342,631,HU,19.0555,48.0515
Dubicsány,27669,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,"1,300",241,115,HU,20.4935,48.2845
Dudar,2936,község,Veszprém,192 0,Zirci,Zirc,"2,458",1649,653,HU,17.946,47.311167
Duka,2927,község,Vas,176 0,Celldömölki,Celldömölk,"1,524",231,156,HU,16.617333,47.087833
Dunaalmás,33835,község,Komárom-Esztergom,114 0,Tatai,Tata,"1,483",1792,738,HU,18.331,47.733333
Dunabogdány,25362,község,Pest,135 0,Szentendrei,Szentendre,"2,550",3282,1446,HU,19.034167,47.793333
Dunaegyháza,21069,község,Bács-Kiskun,043 0,Kunszentmiklósi,Kunszentmiklós,"1,012",1474,723,HU,18.961,46.839833
Dunafalva,12566,község,Bács-Kiskun,035 0,Bajai,Baja,"5,790",812,567,HU,18.779333,46.083333
Dunaföldvár,31501,város,Tolna,172 0,Paksi,Paks,"11,142",8134,4008,HU,18.924167,46.788167
Dunaharaszti,9584,város,Pest,136 0,Szigetszentmiklósi,Szigetszentmiklós,"2,917",23604,9133,HU,19.097167,47.3555
Dunakeszi,18616,város,Pest,126 1,Dunakeszi,Dunakeszi,"3,106",42747,18576,HU,19.141167,47.632833
Dunakiliti,27739,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,"3,364",2125,875,HU,17.288667,47.966167
Dunapataj,7861,nagyközség,Bács-Kiskun,037 0,Kalocsai,Kalocsa,"9,047",3003,1635,HU,19.0005,46.6445
Dunaremete,2079,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,436,259,114,HU,17.438833,47.876833
Dunaszeg,21078,község,Győr-Moson-Sopron,087 0,Győri,Győr,"1,726",2309,867,HU,17.541667,47.769167
Dunaszekcső,9186,község,Baranya,027 0,Mohácsi,Mohács,"3,675",1727,920,HU,18.76,46.087
Dunaszentbenedek,11606,község,Bács-Kiskun,037 0,Kalocsai,Kalocsa,"2,324",724,415,HU,18.894333,46.595
Dunaszentgyörgy,9539,község,Tolna,172 0,Paksi,Paks,"3,763",2408,1041,HU,18.817,46.527667
Dunaszentmiklós,24101,község,Komárom-Esztergom,114 0,Tatai,Tata,778,545,264,HU,18.377833,47.702167
Dunaszentpál,15875,község,Győr-Moson-Sopron,087 0,Győri,Győr,981,739,280,HU,17.504,47.776333
Dunasziget,10454,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,"3,588",1828,748,HU,17.352667,47.938833
Dunatetétlen,14766,község,Bács-Kiskun,037 0,Kalocsai,Kalocsa,"4,319",512,256,HU,19.0955,46.7585
Dunaújváros,3115,megyei jogú város,Fejér,078 1,Dunaújvárosi,Dunaújváros,"5,283",41394,23054,HU,18.9355,46.967167
Dunavarsány,20534,város,Pest,136 0,Szigetszentmiklósi,Szigetszentmiklós,"2,252",8909,3359,HU,19.0685,47.2795
Dunavecse,7612,város,Bács-Kiskun,043 0,Kunszentmiklósi,Kunszentmiklós,"6,677",3878,1681,HU,18.972833,46.915
Dusnok,4109,község,Bács-Kiskun,037 0,Kalocsai,Kalocsa,"5,747",2612,1234,HU,18.959333,46.39
Dúzs,19202,község,Tolna,174 0,Tamási,Tamási,"1,127",218,110,HU,18.3815,46.491333
Ebergőc,26347,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,502,151,83,HU,16.8135,47.5645
Ebes,14614,község,Hajdú-Bihar,100 0,Hajdúszoboszlói,Hajdúszoboszló,"7,730",4636,1702,HU,21.490833,47.471167
Écs,16708,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,"1,984",2249,857,HU,17.704667,47.561167
Ecséd,17181,község,Heves,107 0,Hatvani,Hatvan,"4,160",3070,1405,HU,19.7705,47.732167
Ecseg,4251,község,Nógrád,118 0,Pásztói,Pásztó,"2,410",1148,512,HU,19.606667,47.898667
Ecsegfalva,9432,község,Békés,047 0,Gyomaendrődi,Gyomaendrőd,"7,899",1009,504,HU,20.925667,47.146
Ecseny,10861,község,Somogy,143 0,Kaposvári,Kaposvár,"1,292",201,152,HU,17.857833,46.5545
Ecser,24518,nagyközség,Pest,139 0,Vecsési,Vecsés,"1,310",4092,1661,HU,19.320167,47.4415
Edde,3489,község,Somogy,143 0,Kaposvári,Kaposvár,851,154,83,HU,17.718,46.524667
Edelény,10728,város,Borsod-Abaúj-Zemplén,055 1,Edelényi,Edelény,"5,682",9198,3474,HU,20.7575,48.318167
Edve,22442,község,Győr-Moson-Sopron,088 0,Kapuvári,Kapuvár,505,102,72,HU,17.137167,47.4555
Eger,20491,"megyeszékhely, megyei jogú város",Heves,104 1,Egri,Eger,"9,221",49499,27261,HU,20.379167,47.900667
Egerág,28918,község,Baranya,028 0,Pécsi,Pécs,"1,301",946,356,HU,18.306833,45.983
Egeralja,33871,község,Veszprém,186 0,Devecseri,Devecser,893,211,112,HU,17.241833,47.2365
Egeraracsa,24262,község,Zala,193 0,Keszthelyi,Keszthely,703,322,167,HU,17.080667,46.670333
Egerbakta,12821,község,Heves,104 0,Egri,Eger,"3,237",1396,525,HU,20.2925,47.9345
Egerbocs,26019,község,Heves,104 0,Egri,Eger,"1,595",496,266,HU,20.260667,48.026667
Egercsehi,16610,község,Heves,104 0,Egri,Eger,"1,039",1241,635,HU,20.257333,48.054333
Egerfarmos,2981,község,Heves,105 0,Füzesabonyi,Füzesabony,"2,380",669,320,HU,20.5395,47.719333
Egerlövő,5865,község,Borsod-Abaúj-Zemplén,060 0,Mezőkövesdi,Mezőkövesd,"1,978",504,279,HU,20.619167,47.719833
Egerszalók,24758,község,Heves,104 0,Egri,Eger,"2,311",1976,812,HU,20.3255,47.873833
Egerszólát,13648,község,Heves,104 0,Egri,Eger,"2,610",1008,447,HU,20.270167,47.891833
Égerszög,13356,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,"1,077",46,46,HU,20.588167,48.443667
Egervár,33428,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,"1,028",1049,397,HU,16.846333,46.9435
Egervölgy,28796,község,Vas,182 0,Vasvári,Vasvár,886,342,219,HU,16.9065,47.1205
Egyed,20288,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,"1,343",485,229,HU,17.3415,47.517333
Egyek,15741,nagyközség,Hajdú-Bihar,093 0,Balmazújvárosi,Balmazújváros,"10,475",4827,2175,HU,20.892333,47.627333
Egyházasdengeleg,17659,község,Nógrád,118 0,Pásztói,Pásztó,"1,574",419,214,HU,19.557667,47.798
Egyházasfalu,15237,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,"2,165",859,354,HU,16.767833,47.463833
Egyházasgerge,5980,község,Nógrád,120 0,Salgótarjáni,Salgótarján,"1,537",659,359,HU,19.649,48.180333
Egyházasharaszti,16498,község,Baranya,031 0,Siklósi,Siklós,"1,099",324,123,HU,18.336,45.810333
Egyházashetye,10232,község,Vas,176 0,Celldömölki,Celldömölk,"1,320",309,178,HU,17.121167,47.170167
Egyházashollós,30429,község,Vas,177 0,Körmendi,Körmend,"1,904",519,261,HU,16.696,47.056333
Egyházaskesző,10445,község,Veszprém,187 0,Pápai,Pápa,"2,012",481,234,HU,17.331,47.416667
Egyházaskozár,27401,község,Baranya,026 0,Komlói,Komló,"2,431",681,334,HU,18.319167,46.331
Egyházasrádóc,25946,község,Vas,177 0,Körmendi,Körmend,"2,479",1293,525,HU,16.617333,47.087833
Elek,32957,város,Békés,048 0,Gyulai,Gyula,"5,491",4274,1992,HU,21.254,46.53
Ellend,6099,község,Baranya,028 0,Pécsi,Pécs,799,212,101,HU,18.378333,46.057167
Előszállás,20358,nagyközség,Fejér,078 0,Dunaújvárosi,Dunaújváros,"3,998",2394,946,HU,18.823167,46.832
Emőd,4677,város,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,"4,937",4739,1916,HU,20.816,47.9365
Encs,33048,város,Borsod-Abaúj-Zemplén,056 1,Encsi,Encs,"2,580",6147,2194,HU,21.1195,48.331167
Encsencs,32328,község,Szabolcs-Szatmár-Bereg,156 0,Nyírbátori,Nyírbátor,"3,191",1780,652,HU,22.1175,47.741667
Endrefalva,25496,község,Nógrád,121 0,Szécsényi,Szécsény,"1,323",1135,443,HU,19.577833,48.127167
Endrőc,28273,község,Baranya,033 0,Szigetvári,Szigetvár,"1,133",321,132,HU,17.769,45.928667
Enese,15033,község,Győr-Moson-Sopron,087 0,Győri,Győr,"1,989",1828,658,HU,17.422167,47.643667
Enying,2802,város,Fejér,079 1,Enyingi,Enying,"8,278",6426,2630,HU,18.2485,46.924333
Eperjes,22992,község,Csongrád-Csanád,076 0,Szentesi,Szentes,"7,389",366,310,HU,20.563333,46.709333
Eperjeske,18528,község,Szabolcs-Szatmár-Bereg,160 0,Záhonyi,Záhony,"1,355",1020,396,HU,22.213667,48.346333
Eplény,33941,község,Veszprém,191 0,Veszprémi,Veszprém,828,522,195,HU,17.914667,47.212
Epöl,29638,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,"1,252",612,269,HU,18.642,47.646
Ercsi,23603,város,Fejér,081 0,Martonvásári,Martonvásár,"6,531",8085,3104,HU,18.895333,47.2495
Érd,30988,megyei jogú város,Pest,127 1,Érdi,Érd,"6,331",71338,26449,HU,18.910333,47.3955
Erdőbénye,25326,község,Borsod-Abaúj-Zemplén,069 0,Tokaji,Tokaj,"4,580",937,712,HU,21.353,48.265167
Erdőhorváti,22503,község,Borsod-Abaúj-Zemplén,064 0,Sárospataki,Sárospatak,"5,011",539,317,HU,21.428167,48.314833
Erdőkertes,13480,község,Pest,128 0,Gödöllői,Gödöllő,575,9820,3481,HU,19.313667,47.672333
Erdőkövesd,28556,község,Heves,109 0,Pétervásárai,Pétervására,"1,718",629,300,HU,20.104333,48.038
Erdőkürt,22655,község,Nógrád,118 0,Pásztói,Pásztó,"2,172",459,266,HU,19.460167,47.773833
Erdősmárok,25821,község,Baranya,027 0,Mohácsi,Mohács,814,84,53,HU,18.547833,46.0575
Erdősmecske,18704,község,Baranya,029 0,Pécsváradi,Pécsvárad,"2,644",302,174,HU,18.513333,46.175167
Erdőtarcsa,21795,község,Nógrád,118 0,Pásztói,Pásztó,"1,507",500,230,HU,19.540833,47.7645
Erdőtelek,24235,község,Heves,108 0,Hevesi,Heves,"4,490",3256,1363,HU,20.3125,47.686667
Erk,20118,község,Heves,108 0,Hevesi,Heves,"2,168",1019,312,HU,20.078667,47.610167
Érpatak,10852,község,Szabolcs-Szatmár-Bereg,155 0,Nagykállói,Nagykálló,"3,164",1618,636,HU,21.762,47.809667
Érsekcsanád,11864,község,Bács-Kiskun,035 0,Bajai,Baja,"5,829",2772,1054,HU,18.984667,46.253
Érsekhalma,33589,község,Bács-Kiskun,035 0,Bajai,Baja,"2,756",536,258,HU,19.124667,46.348667
Érsekvadkert,21582,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,"5,538",3467,1387,HU,19.200333,47.999333
Értény,8448,község,Tolna,174 0,Tamási,Tamási,"2,995",691,262,HU,18.136167,46.614333
Erzsébet,13499,község,Baranya,029 0,Pécsváradi,Pécsvárad,975,257,131,HU,18.461333,46.100333
Esztár,25469,község,Hajdú-Bihar,096 0,Derecskei,Derecske,"3,171",1247,507,HU,21.774167,47.283667
Eszteregnye,6178,község,Zala,196 0,Nagykanizsai,Nagykanizsa,"2,008",627,285,HU,16.885,46.473833
Esztergályhorváti,15769,község,Zala,193 0,Keszthelyi,Keszthely,"1,668",431,216,HU,17.110667,46.702333
Esztergom,25131,megyei jogú város,Komárom-Esztergom,110 1,Esztergomi,Esztergom,"10,011",28642,12428,HU,18.743667,47.789333
Ete,6664,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,"2,062",579,243,HU,18.073333,47.530667
Etes,15370,község,Nógrád,120 0,Salgótarjáni,Salgótarján,"1,580",1285,686,HU,19.7195,48.110833
Etyek,2316,nagyközség,Fejér,077 0,Bicskei,Bicske,"5,327",4473,1692,HU,18.750167,47.446167
Fábiánháza,23250,község,Szabolcs-Szatmár-Bereg,154 0,Mátészalkai,Mátészalka,"2,735",1663,754,HU,22.356667,47.843833
Fábiánsebestyén,19974,község,Csongrád-Csanád,076 0,Szentesi,Szentes,"7,173",1834,897,HU,20.454167,46.674167
Fácánkert,24192,község,Tolna,175 0,Tolnai,Tolna,"1,070",652,277,HU,18.7385,46.446833
Fadd,18980,nagyközség,Tolna,175 0,Tolnai,Tolna,"6,754",3925,1642,HU,18.826333,46.465333
Fáj,2741,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,"1,933",468,86,HU,21.0775,48.422
Fajsz,3230,község,Bács-Kiskun,037 0,Kalocsai,Kalocsa,"3,199",1536,818,HU,18.919667,46.417833
Fancsal,12557,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,977,313,153,HU,21.066,48.355
Farád,33996,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,"2,879",1903,765,HU,17.203333,47.605167
Farkasgyepű,10250,község,Veszprém,183 0,Ajkai,Ajka,"1,005",391,171,HU,17.633667,47.203667
Farkaslyuk,34272,község,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,502,1958,538,HU,20.3095,48.1835
Farmos,9122,község,Pest,131 0,Nagykátai,Nagykáta,"4,012",3413,1563,HU,19.848333,47.361
Fazekasboda,17835,község,Baranya,029 0,Pécsváradi,Pécsvárad,702,174,97,HU,18.487833,46.123167
Fedémes,12432,község,Heves,109 0,Pétervásárai,Pétervására,862,295,170,HU,20.188667,48.034333
Fegyvernek,16647,város,Jász-Nagykun-Szolnok,169 0,Törökszentmiklósi,Törökszentmiklós,"7,148",6146,2594,HU,20.5275,47.260667
Fehérgyarmat,18971,város,Szabolcs-Szatmár-Bereg,150 1,Fehérgyarmati,Fehérgyarmat,"5,245",6975,3243,HU,21.942,48.1235
Fehértó,6956,község,Győr-Moson-Sopron,087 0,Győri,Győr,"1,138",457,225,HU,17.345833,47.676333
Fehérvárcsurgó,32203,község,Fejér,082 0,Móri,Mór,"2,964",2069,841,HU,18.274,47.290167
Feked,4543,község,Baranya,027 0,Mohácsi,Mohács,"1,933",187,119,HU,18.561,46.163
Feketeerdő,32717,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,674,679,258,HU,17.279833,47.935667
Felcsút,29939,község,Fejér,077 0,Bicskei,Bicske,"2,202",1879,723,HU,18.589667,47.456833
Feldebrő,20747,község,Heves,104 0,Egri,Eger,"2,652",1038,546,HU,20.237833,47.8125
Felgyő,22646,község,Csongrád-Csanád,070 0,Csongrádi,Csongrád,"7,673",1084,539,HU,20.109667,46.665667
Felpéc,33251,község,Győr-Moson-Sopron,092 0,Téti,Tét,"2,247",960,397,HU,17.599667,47.522667
Felsőberecki,8174,község,Borsod-Abaúj-Zemplén,065 0,Sátoraljaújhelyi,Sátoraljaújhely,353,231,117,HU,21.694333,48.360667
Felsőcsatár,13587,község,Vas,181 0,Szombathelyi,Szombathely,"1,790",497,211,HU,16.445333,47.214333
Felsődobsza,9742,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,"1,523",822,317,HU,21.078333,48.258667
Felsőegerszeg,13286,község,Baranya,025 0,Hegyháti,Sásd,484,124,67,HU,18.1355,46.253667
Felsőgagy,29708,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,"1,447",211,81,HU,21.012833,48.427167
Felsőjánosfa,8013,község,Vas,177 0,Körmendi,Körmend,306,168,87,HU,16.554667,46.848
Felsőkelecsény,31723,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,799,353,136,HU,20.594333,48.360667
Felsőlajos,33598,község,Bács-Kiskun,038 0,Kecskeméti,Kecskemét,"1,141",992,411,HU,19.4955,47.065667
Felsőmarác,29841,község,Vas,177 0,Körmendi,Körmend,"1,744",265,183,HU,16.5225,46.933833
Felsőmocsolád,13985,község,Somogy,143 0,Kaposvári,Kaposvár,"1,651",314,240,HU,17.826,46.5745
Felsőnána,15820,község,Tolna,170 0,Bonyhádi,Bonyhád,"1,890",571,233,HU,18.5305,46.467
Felsőnyárád,32762,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,"1,167",886,376,HU,20.599167,48.328667
Felsőnyék,17914,község,Tolna,174 0,Tamási,Tamási,"3,202",1005,489,HU,18.296667,46.793333
Felsőörs,24369,község,Veszprém,184 0,Balatonalmádi,Balatonalmádi,"1,723",2081,818,HU,17.954167,47.015333
Felsőpáhok,11642,község,Zala,193 0,Keszthelyi,Keszthely,727,671,349,HU,17.1585,46.785833
Felsőpakony,6035,nagyközség,Pest,129 0,Gyáli,Gyál,"1,533",3753,1335,HU,19.238667,47.3425
Felsőpetény,24323,község,Nógrád,119 0,Rétsági,Rétság,"1,450",549,264,HU,19.548833,47.723167
Felsőrajk,21476,község,Zala,196 0,Nagykanizsai,Nagykanizsa,"2,054",765,330,HU,16.988333,46.679
Felsőregmec,7588,község,Borsod-Abaúj-Zemplén,065 0,Sátoraljaújhelyi,Sátoraljaújhely,"1,075",333,82,HU,21.6065,48.4905
Felsőszenterzsébet,30890,község,Zala,194 0,Lenti,Lenti,824,16,16,HU,16.457,46.753667
Felsőszentiván,2954,község,Bács-Kiskun,035 0,Bajai,Baja,"5,354",1687,820,HU,19.189333,46.196333
Felsőszentmárton,8819,község,Baranya,030 0,Sellyei,Sellye,"1,946",705,500,HU,17.7075,45.8515
Felsőszölnök,23287,község,Vas,180 0,Szentgotthárdi,Szentgotthárd,"2,356",524,305,HU,16.161667,46.8775
Felsőtárkány,16328,község,Heves,104 0,Egri,Eger,"7,732",3455,1313,HU,20.417833,47.974
Felsőtelekes,31671,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,845,640,284,HU,20.636833,48.407333
Felsőtold,33312,község,Nógrád,118 0,Pásztói,Pásztó,"1,083",121,103,HU,19.612,47.968167
Felsővadász,23533,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,"1,864",563,164,HU,20.922833,48.371333
Felsőzsolca,2848,város,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,"1,625",6401,2241,HU,20.859833,48.104833
Fényeslitke,22415,község,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,"2,515",2312,835,HU,22.102667,48.274667
Fenyőfő,30678,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,"2,965",95,90,HU,17.767,47.350667
Ferencszállás,18999,község,Csongrád-Csanád,075 0,Szegedi,Szeged,579,617,270,HU,20.3565,46.216167
Fertőboz,11253,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,"1,367",312,120,HU,16.701667,47.636833
Fertőd,9885,város,Győr-Moson-Sopron,091 0,Soproni,Sopron,"4,854",3406,1545,HU,16.888,47.619667
Fertőendréd,9487,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,"1,509",609,256,HU,16.910667,47.606333
