city_nm,ksh_cd,city_type_cd,county_nm,district_cd,district_nm,district_seat_nm,area_no,population_no,apartments_no,country_cd,longitude_no,latitude_no
Alsógagy,14429,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,628,89,51,HU,21.024333,48.406667
Alsómocsolád,17385,község,Baranya,025 0,Hegyháti,Sásd,"1,300",257,134,HU,18.25,46.314
Alsónána,29665,község,Tolna,173 0,Szekszárdi,Szekszárd,"1,314",648,281,HU,18.659833,46.250833
Alsónémedi,23199,nagyközség,Pest,129 0,Gyáli,Gyál,"4,907",5582,2183,HU,19.162,47.314833
Alsónemesapáti,19512,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,"1,451",665,274,HU,16.9395,46.8545
Alsónyék,11563,község,Tolna,173 0,Szekszárdi,Szekszárd,"3,201",652,301,HU,18.735833,46.203
Alsóörs,30526,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,"3,334",1903,1018,HU,17.9755,46.990167
Alsópáhok,32081,község,Zala,193 0,Keszthelyi,Keszthely,"1,802",1443,852,HU,17.1725,46.769333
Alsópetény,16425,község,Nógrád,119 0,Rétsági,Rétság,"1,968",564,304,HU,19.2465,47.8745
Alsórajk,18829,község,Zala,196 0,Nagykanizsai,Nagykanizsa,845,326,165,HU,16.999,46.655333
Alsóregmec,23223,község,Borsod-Abaúj-Zemplén,065 0,Sátoraljaújhelyi,Sátoraljaújhely,"1,540",194,88,HU,21.618333,48.466
Alsószenterzsébet,8767,község,Zala,194 0,Lenti,Lenti,963,48,39,HU,16.477333,46.7445
Alsószentiván,25283,község,Fejér,084 0,Sárbogárdi,Sárbogárd,"3,965",533,281,HU,18.733333,46.795667
Alsószentmárton,33279,község,Baranya,031 0,Siklósi,Siklós,"1,361",1198,293,HU,18.306833,45.791167
Alsószölnök,22549,község,Vas,180 0,Szentgotthárdi,Szentgotthárd,"1,002",342,172,HU,16.202167,46.928167
Alsószuha,28839,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,"2,242",379,165,HU,20.505333,48.373667
Alsótelekes,8217,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,644,113,93,HU,20.6565,48.408833
Alsótold,7621,község,Nógrád,118 0,Pásztói,Pásztó,786,232,114,HU,19.5995,47.952
Alsóújlak,22725,község,Vas,182 0,Vasvári,Vasvár,"2,102",538,283,HU,16.854167,47.080833
Alsóvadász,29814,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,"2,290",1543,439,HU,20.906833,48.239667
Alsózsolca,21032,város,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,"2,602",5502,1877,HU,20.881833,48.075
Ambrózfalva,16197,község,Csongrád-Csanád,073 0,Makói,Makó,"1,122",415,241,HU,20.732833,46.350333
Anarcs,29975,község,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,"1,706",1811,639,HU,22.1085,48.177333
Andocs,28714,község,Somogy,147 0,Tabi,Tab,"4,327",948,457,HU,17.926167,46.6495
Andornaktálya,17987,község,Heves,104 0,Egri,Eger,"1,675",2603,1053,HU,20.411667,47.850833
Andrásfa,12317,község,Vas,182 0,Vasvári,Vasvár,823,223,133,HU,16.796,46.963833
Annavölgy,34227,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,483,863,393,HU,18.669167,47.6975
Apácatorna,28370,község,Veszprém,186 0,Devecseri,Devecser,729,141,80,HU,17.296,47.112333
Apagy,20303,község,Szabolcs-Szatmár-Bereg,157 0,Nyíregyházi,Nyíregyháza,"3,199",2192,853,HU,21.935833,47.958
Apaj,33561,község,Pest,134 0,Ráckevei,Ráckeve,"7,104",1095,428,HU,19.090333,47.111667
Aparhant,26125,község,Tolna,170 0,Bonyhádi,Bonyhád,"1,797",910,385,HU,18.452333,46.332
Apátfalva,14252,község,Csongrád-Csanád,073 0,Makói,Makó,"5,384",2777,1509,HU,20.579167,46.174667
Apátistvánfalva,8873,község,Vas,180 0,Szentgotthárdi,Szentgotthárd,"1,286",385,161,HU,16.2555,46.897
Apátvarasd,27298,község,Baranya,029 0,Pécsváradi,Pécsvárad,814,116,40,HU,18.4825,46.1865
Apc,7241,község,Heves,107 0,Hatvani,Hatvan,"2,046",2381,1087,HU,19.695,47.792167
Áporka,10108,község,Pest,134 0,Ráckevei,Ráckeve,"1,747",1260,530,HU,19.012667,47.2265
Apostag,21148,község,Bács-Kiskun,043 0,Kunszentmiklósi,Kunszentmiklós,"3,194",2043,979,HU,18.9645,46.8835
Aranyosapáti,9353,község,Szabolcs-Szatmár-Bereg,159 0,Vásárosnaményi,Vásárosnamény,"2,112",2024,640,HU,22.1825,48.2715
Aranyosgadány,6886,község,Baranya,028 0,Pécsi,Pécs,826,321,137,HU,18.121833,46.007
Arka,26198,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,949,51,72,HU,21.254333,48.357
Arló,14331,nagyközség,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,"4,687",3514,1120,HU,20.2575,48.177167
Arnót,3771,község,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,"1,754",2244,819,HU,20.859667,48.129167
